county,year,violent_crime_rate,property_crime_rate,poverty_estimate_all_ages,poverty_percent_all_ages,poverty_estimate_under_age_18,poverty_percent_under_ age_18,poverty_estimate_ages_5-17,poverty_percent_ages_5-17,median_household_income,labor_force,employed,unemployed_level,unemployed_rate,cum_population_change,cum_natural_increase,cum_births,cum_deaths,cum_net_migration,cum_intl_migration,cum_dom_migration,population_change,natural_increase,births,deaths,net_migration,intl_migration,dom_migration
Madera County,2013,1359.7,5499.9,33974,23.4,13563,32.2,9035,29.8,41223,62263,54428,7835,12.6,1524,4494,7768,3274,-2848,606,-3454,154,1408,2365,957,-1165,185,-1350
San Joaquin County,2011,2361.8,17338.1,124573,18.2,49527,25,32873,22.8,50376,311363,260997,50366,16.2,10908,7441,13131,5690,3504,2409,1095,8553,6032,10557,4525,2558,1923,635
Imperial County,2013,846.6,13685.5,38067,22.7,15594,30.9,11280,31.5,40106,78271,58670,19601,25,2056,7026,10010,2984,-5089,-115,-4974,-184,2176,3088,912,-2461,-35,-2426
Solano County,2011,1936.3,14893.6,54912,13.6,18147,18.4,11500,15.9,63090,202241,177619,24622,12.2,3127,2767,6343,3576,380,1545,-1165,2346,2269,5121,2852,90,1157,-1067
Contra Costa County,2014,4992.6,51438.3,115466,10.5,35640,13.8,25628,13.3,80338,540891,507521,33370,6.2,62142,20382,51614,31232,41374,17009,24365,15359,4477,12221,7744,11125,4265,6860
Monterey County,2011,4189.6,21236.7,69113,17.1,27097,24.5,17817,23,52746,216558,189146,27412,12.7,6841,5640,8471,2831,1237,2292,-1055,5532,4549,6808,2259,1014,1765,-751
Madera County,2012,1340.4,4901.8,33785,23.3,14991,35.4,9730,32,42054,62530,53495,9035,14.4,1353,3309,5411,2102,-1931,343,-2274,133,1471,2382,911,-1350,177,-1527
Tehama County,2012,786.7,5696.8,13980,22.3,4876,32,3375,30.4,38577,25248,21780,3468,13.7,-57,482,1770,1288,-562,144,-706,15,216,794,578,-201,64,-265
Tulare County,2011,3452.7,22815.6,113766,25.6,48335,33.7,33555,32.9,40599,203474,168687,34787,17.1,7074,6752,10053,3301,337,1674,-1337,5744,5475,8115,2640,286,1336,-1050
Santa Clara County,2014,1905.8,26178.3,159553,8.5,40118,9.3,27769,8.9,97219,992221,941097,51124,5.2,112933,61611,102357,40746,53447,69633,-16186,23498,14114,24362,10248,10014,17385,-7371
El Dorado County,2014,1067.5,5017.1,20715,11.4,4956,13.1,3405,11.5,70235,88114,81968,6146,7,2030,688,6652,5964,1284,719,565,1545,40,1526,1486,1507,177,1330
Sacramento County,2011,1720.1,11692.9,250842,17.7,89099,24.9,59257,23.1,52236,679995,597683,82312,12.1,17317,12346,24696,12350,5062,6054,-992,14011,9913,19811,9898,4168,4938,-770
Sutter County,2013,,,16288,17.2,6372,25.4,4427,23.9,47903,44792,38243,6549,14.6,613,1910,4306,2396,-1403,1461,-2864,691,604,1311,707,21,458,-437
Kern County,2014,3532.7,18995.8,206604,24.5,83543,32.9,57763,31.9,47451,393459,352504,40955,10.4,34958,38199,61710,23511,-2517,7431,-9948,8666,9000,14763,5763,67,1842,-1775
Butte County,2014,1147.2,11767.3,48151,21.9,10825,24.3,7829,24.2,42302,101483,92708,8775,8.6,4241,688,10200,9512,3513,1077,2436,1821,122,2409,2287,1678,274,1404
Calaveras County,2014,,,6057,13.7,1577,20.6,1091,18.5,53321,20292,18668,1624,8,-954,-533,1467,2000,-323,88,-411,10,-133,357,490,177,21,156
Monterey County,2013,3745.2,21104.4,71922,17.5,27175,24.4,18587,23.8,55411,216380,194075,22305,10.3,13769,14516,22121,7605,-474,2755,-3229,2754,4425,6821,2396,-1679,830,-2509
San Benito County,2014,367.9,1347.1,8162,14.1,3056,19.8,2055,17.8,68166,29241,26513,2728,9.3,2998,1909,3090,1181,1112,261,851,673,426,721,295,272,69,203
Merced County,2013,1849.3,12131.6,63843,24.8,26870,34.1,19157,33.4,41003,114628,98009,16619,14.5,7430,8729,13824,5095,-1275,1277,-2552,1596,2660,4268,1608,-1075,401,-1476
Placer County,2013,929,10417.3,30287,8.3,8068,9.5,5207,8.1,73643,175833,162264,13569,7.7,18877,3303,12412,9109,15361,1745,13616,5889,986,3811,2825,5046,556,4490
Ventura County,2013,1780.3,16317.4,99227,12,36357,18,23698,15.9,76513,433914,399769,34145,7.9,16302,17847,34933,17086,-1786,3824,-5610,5222,5163,10610,5447,-406,1184,-1590
Mendocino County,2011,707.1,2625.4,17387,20.2,5931,31.4,3928,29,41236,40953,36284,4669,11.4,-288,361,1317,956,-645,199,-844,-259,298,1057,759,-555,155,-710
Napa County,2014,582.8,4439.8,12317,9,3660,12,2558,11.2,71063,73592,69417,4175,5.7,5137,1208,6314,5106,3924,1963,1961,1087,205,1446,1241,911,487,424
Fresno County,2014,3922.7,20532,261387,27.5,104770,38,71200,36.3,43338,439300,388435,50865,11.6,35522,41039,68262,27223,-5425,8378,-13803,9872,9256,15977,6721,821,2152,-1331
Lake County,2013,836.1,4615.1,14680,23.3,4272,33.7,2724,30,36973,29259,26068,3191,10.9,-805,-141,2326,2467,-602,59,-661,-105,-38,711,749,-54,17,-71
San Benito County,2013,535.5,1565.3,7260,12.7,2907,18.6,2020,17.4,66780,28904,25696,3208,11.1,2331,1625,2491,866,724,51,673,731,503,788,285,224,11,213
Nevada County,2012,636.5,6353.9,11579,11.9,3106,17.6,2107,15.7,54230,48363,43649,4714,9.7,-472,-236,1703,1939,-171,151,-322,-445,-123,737,860,-313,70,-383
Santa Cruz County,2013,1578.8,16002.7,38447,14.9,10223,18.9,7189,18.5,65282,142067,127466,14601,10.3,7043,4812,10415,5603,2114,949,1165,2911,1451,3202,1751,1281,289,992
San Benito County,2011,447.1,1757.3,6909,12.4,2768,17.6,1867,15.9,62618,28281,24179,4102,14.5,803,576,910,334,228,132,96,552,450,728,278,105,99,6
Butte County,2013,1098.8,11425.1,46621,21.4,11074,25,7246,22.4,42395,101748,91263,10485,10.3,2090,572,7777,7205,1472,536,936,1074,113,2383,2270,785,169,616
Lake County,2011,926.8,4530.4,14587,23,4399,33.8,2952,31.2,35882,29611,25310,4301,14.5,-342,-72,879,951,-271,70,-341,-430,-54,707,761,-378,53,-431
Shasta County,2011,1517.3,7885,34031,19.4,9651,25.3,6403,22.9,41796,77044,64762,12282,15.9,551,234,2577,2343,342,140,202,466,168,2052,1884,312,108,204
Sutter County,2011,,,14831,15.8,6248,24.5,4033,21.9,48749,45939,37596,8343,18.2,182,852,1686,834,-686,605,-1291,60,670,1363,693,-624,461,-1085
Orange County,2011,5199.3,62155.5,391460,13,129549,17.9,87837,16.5,72046,1546389,1406411,139978,9.1,45513,26335,47769,21434,19322,15216,4106,38147,21337,38498,17161,16909,12312,4597
Madera County,2011,1086.3,4712.4,33965,23.6,14213,33.5,9287,30.5,44795,62014,51990,10024,16.2,2060,1857,2961,1104,212,636,-424,1457,1496,2376,880,-31,500,-531
Santa Cruz County,2014,1768.2,16401.1,42076,16.1,10217,19.1,7149,18.6,64257,142647,130163,12484,8.8,9442,5958,13337,7379,3463,1622,1841,2360,1301,3105,1804,1105,427,678
Santa Barbara County,2011,2022.2,10567.3,63212,15.4,19904,21.1,14057,20.9,59494,213005,193023,19982,9.4,2983,3718,7269,3551,-736,1903,-2639,2248,2997,5842,2845,-754,1479,-2233
Riverside County,2013,7057.2,74114.2,392513,17.4,146552,24.2,99367,22.2,53909,996411,897722,98689,9.9,102866,51925,100243,48318,49780,7809,41971,27628,15683,31043,15360,11454,2464,8990
San Benito County,2012,452.9,2024.3,7201,12.8,2827,18.1,1906,16.4,60577,28677,24936,3741,13,1615,1046,1668,622,580,104,476,720,448,734,286,271,44,227
Ventura County,2011,1894,14756.4,94625,11.5,33696,16.4,22989,15.2,74019,431718,387495,44223,10.2,8453,7394,13769,6375,1089,2528,-1439,6326,5977,11060,5083,368,1961,-1593
Tuolumne County,2011,,,8420,16.6,2238,24.3,1532,22.2,43530,22725,19440,3285,14.5,-412,-116,562,678,-285,45,-330,-268,-103,441,544,-158,38,-196
Stanislaus County,2013,2493,24077.1,113074,21.8,43722,30.5,30833,29.6,47808,240987,209781,31206,12.9,11040,13119,25170,12051,-2300,2764,-5064,4041,4086,7762,3676,-288,878,-1166
Sonoma County,2013,2124.6,10020.5,60216,12.4,16308,16,11209,15,61020,249962,232197,17765,7.1,11147,4122,16893,12771,6968,1553,5415,4429,1147,5156,4009,3148,485,2663
Yuba County,2013,1697.1,11899.3,14876,20.6,5711,28,3851,27,41824,28250,24531,3719,13.2,1185,2522,4134,1612,-1267,327,-1594,371,811,1282,471,-382,91,-473
Tuolumne County,2014,,,7177,14.3,1813,20.5,1239,18.9,49476,21628,19757,1871,8.7,-1534,-539,1935,2474,-954,201,-1155,-80,-90,465,555,28,53,-25
Tehama County,2011,730.3,5083.9,12244,19.5,4288,27.6,2851,25.4,37297,25574,21744,3830,15,138,268,961,693,-132,157,-289,-36,220,779,559,-258,123,-381
Marin County,2011,764.4,8212,23236,9.4,5618,10.8,3843,10.1,78470,134576,124801,9775,7.3,2622,851,2958,2107,1786,833,953,2242,682,2374,1692,1562,632,930
Santa Clara County,2013,1978.5,27409.6,191898,10.5,55624,12.9,37118,12,91843,971862,909039,62823,6.5,80383,46081,77068,30987,35389,44181,-8792,26016,13564,23598,10034,12503,14113,-1610
Lassen County,2012,537.8,1792.8,5405,22.4,1270,22.4,814,19.7,47480,11471,10042,1429,12.5,-1237,215,712,497,-1462,5,-1467,-622,86,314,228,-714,3,-717
Stanislaus County,2012,2830,26416.6,103926,20.1,39172,27.3,27748,26.6,46324,241965,205940,36025,14.9,7275,9534,17531,7997,-2174,1689,-3863,3769,4190,7744,3554,-410,790,-1200
Los Angeles County,2011,28112.5,183657.1,1788681,18.4,606778,25.9,426432,25.1,52239,4928464,4327923,600541,12.2,70451,92391,165146,72755,-22519,52981,-75500,62283,74813,133239,58426,-12733,42413,-55146
Contra Costa County,2013,5245.3,50639.5,116977,10.8,34435,13.4,24490,12.7,78909,538002,497661,40341,7.5,45180,15717,39470,23753,29008,11250,17758,15948,4579,12111,7532,10572,3609,6963
Humboldt County,2013,1438,16121.9,28159,21.5,6550,25.6,4081,22.3,40882,63055,57947,5108,8.1,-130,705,4727,4022,-793,190,-983,-91,135,1406,1271,-244,54,-298
Lake County,2014,650.4,4566.2,15387,24.3,4119,32.3,2974,32.8,36333,29352,26727,2625,8.9,-481,-250,3092,3342,-138,48,-186,341,-38,731,769,395,17,378
Kings County,2013,1723.2,8576.2,28877,21.8,11605,28,8122,27.9,45794,58198,50387,7811,13.4,-2022,5674,8278,2604,-7845,1038,-8883,-422,1722,2528,806,-2145,299,-2444
Santa Clara County,2012,1982.5,28299.3,195277,10.8,54064,12.6,38200,12.5,91195,958281,882982,75299,7.9,55862,33503,54502,20999,23286,30315,-7029,25684,14513,24074,9561,11377,13924,-2547
Alameda County,2011,6491,44545,198382,13.2,56573,16.8,37420,15.6,67295,786756,707381,79375,10.1,19604,12888,24101,11213,6771,8717,-1946,16832,10422,19372,8950,6484,7007,-523
Fresno County,2011,4740.2,27530.1,238977,25.8,97470,35.4,64551,33,42572,443509,370224,73285,16.5,12454,12196,19885,7689,266,3234,-2968,9736,9797,15958,6161,-55,2584,-2639
Los Angeles County,2014,24109.9,171700,1863025,18.7,605129,26.7,429259,26.4,55686,5004087,4591068,413019,8.3,298041,304568,558921,254353,3777,211266,-207489,62710,68605,131668,63063,-932,52572,-53504
Alameda County,2013,5932.6,50347.9,201303,13,52179,15.4,37025,15.3,72128,802813,744764,58049,7.2,68630,31752,62344,30592,37687,29550,8137,24931,9516,19314,9798,15466,9424,6042
Marin County,2014,749.7,9944.5,22272,8.8,5357,10.1,3467,8.6,94549,139122,133186,5936,4.3,8341,1973,9831,7858,6698,3710,2988,1929,423,2256,1833,1648,924,724
Los Angeles County,2012,27218.8,185561.6,1873522,19.1,633448,27.3,442490,26.4,52929,4915263,4378392,536871,10.9,144184,168936,302441,133505,-22066,88868,-110934,73764,73332,133943,60611,705,41066,-40361
San Bernardino County,2013,9409.8,64707.1,392242,19.2,151926,26.7,103355,24.9,52112,896673,809057,87616,9.8,53161,58850,100081,41231,-6255,8341,-14596,10918,17543,30680,13137,-7514,2575,-10089
San Bernardino County,2012,9896.9,70197.7,415927,20.4,162732,28.2,111227,26.5,50603,892212,790420,101792,11.4,46103,43871,71488,27617,2428,6649,-4221,16802,19241,31774,12533,-2425,3587,-6012
San Bernardino County,2014,8804.7,61818.7,422405,20.4,159554,28.2,113001,27.4,51951,907537,834901,72636,8,77404,76612,130705,54093,559,17580,-17021,19313,17247,30733,13486,2408,4277,-1869
Santa Barbara County,2013,1613.2,11700.9,67725,16.2,20049,20.9,13724,20.2,60803,217331,201680,15651,7.2,11899,9348,18836,9488,2504,3641,-1137,5271,2840,5803,2963,2220,1107,1113
Tuolumne County,2013,,,7307,14.6,1927,21.6,1339,20.1,50774,21749,19406,2343,10.8,-1491,-402,1423,1825,-1089,123,-1212,-176,-109,431,540,-39,39,-78
Contra Costa County,2012,6262.6,53164.7,118696,11.1,37201,14.5,25542,13.4,74208,535786,487887,47899,8.9,30572,11983,28112,16129,18689,7830,10859,13081,5133,12448,7315,7942,3645,4297
Mendocino County,2013,730.8,3553,17947,20.9,5329,28.9,3721,28.2,42001,40837,37425,3412,8.4,-648,786,3368,2582,-1368,179,-1547,-181,225,1027,802,-355,52,-407
Los Angeles County,2013,24320.5,183302.4,1872964,19,624784,27.4,439258,26.6,54443,4967167,4482594,484573,9.8,198458,231946,425931,193985,-29130,123471,-152601,65378,68476,130332,61856,-2737,39399,-42136
Stanislaus County,2014,2438.7,22497.4,95456,18.1,34198,23.8,23015,22,50917,241157,214219,26938,11.2,17546,16527,32444,15917,938,5320,-4382,5711,3803,7550,3747,2002,1366,636
Humboldt County,2011,1182.9,12712.6,27780,21.1,6797,26.3,4393,24.1,39526,65106,58228,6878,10.6,138,412,1903,1491,-269,127,-396,-1,328,1521,1193,-327,100,-427
Orange County,2012,5388.1,65626.4,396951,13,130230,18,92740,17.5,71866,1562136,1439270,122866,7.9,79895,48455,88284,39829,32074,23635,8439,34017,21337,39346,18009,12872,11043,1829
San Bernardino County,2011,9118.7,64911.8,391911,19.4,152754,26.2,104700,24.6,51017,888513,774166,114347,12.9,30167,23662,38657,14995,6583,5214,1369,23350,19108,31140,12032,4349,4150,199
Mendocino County,2014,846.2,3479.4,16256,18.8,4924,26.2,3270,24.5,42840,40479,37647,2832,7,29,1241,4676,3435,-1063,409,-1472,398,321,1138,817,159,98,61
Tulare County,2013,3284.3,21600.7,133050,29.6,56797,39.8,38091,37.3,39657,201053,172171,28882,14.4,11964,17050,26154,9104,-4838,513,-5351,3100,5145,7994,2849,-1931,137,-2068
Imperial County,2012,930.6,14648.3,38189,22.8,16597,33,11650,32.4,38185,79265,57586,21679,27.4,2420,4961,6990,2029,-2539,88,-2627,1051,2239,3118,879,-1203,74,-1277
Santa Cruz County,2012,1796.9,17055.3,35647,13.9,9632,17.9,6481,16.7,65799,142063,125257,16806,11.8,4394,3438,7241,3803,1030,764,266,1815,1433,3176,1743,402,365,37
El Dorado County,2011,1247.2,4055.1,18496,10.3,5309,13.4,3697,12.1,61970,89690,79188,10502,11.7,-120,366,2038,1672,-476,115,-591,-213,286,1634,1348,-495,75,-570
Sacramento County,2012,1836.8,12057.9,279494,19.5,95891,26.8,65753,25.6,52617,681281,609691,71590,10.5,31333,22373,45179,22806,9064,11150,-2086,13859,9683,19958,10275,4270,5186,-916
Butte County,2011,1001.1,8992.7,48784,22.6,12426,28,8259,25.6,39208,100647,86891,13756,13.7,266,290,3009,2719,-3,309,-312,266,221,2403,2182,58,234,-176
Yuba County,2014,1745.3,10875.9,15693,21.6,5802,28.6,3802,26.6,41403,27962,24829,3133,11.2,1811,3089,5243,2154,-1169,661,-1830,605,735,1217,482,-88,157,-245
San Luis Obispo County,2013,1783.6,14968.3,39140,15,7997,16.1,5546,15.3,57743,138258,128819,9439,6.8,6709,1460,8621,7161,5117,452,4665,1821,490,2662,2172,1152,141,1011
Madera County,2014,1174.7,4599.2,32542,22.3,12871,30.7,8619,28.4,43171,61953,55013,6940,11.2,3683,5557,9823,4266,-1705,778,-2483,2383,1264,2224,960,1146,207,939
Kern County,2011,3379.7,20032.1,200571,24.6,87025,34.6,59585,33.5,44903,382367,325712,56655,14.8,12079,11189,17828,6639,897,2531,-1634,8897,9060,14378,5318,-143,1965,-2108
Yolo County,2013,1049.1,9103.9,35367,17.8,7921,17.9,5338,16.5,55011,101835,92660,9175,9,3744,3954,7696,3742,-308,2484,-2792,755,1169,2348,1179,-501,787,-1288
